Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,1.000115,1.001668,0.998967,1.000376,1.000376,2409351307956
2021-11-01,1.000382,1.033019,0.998016,1.000286,1.000286,2507879034637
2021-12-01,1.000449,1.001999,0.998009,1.000189,1.000189,2119059424241
2022-01-01,1.000093,1.001117,0.999845,1.000485,1.000485,1810821329496
2022-02-01,1.000505,1.002683,1.000223,1.000351,1.000351,1587829928078
2022-03-01,1.000359,1.000897,0.999958,1.000304,1.000304,1931167889923
2022-04-01,1.000306,1.000681,0.999970,1.000155,1.000155,1870190579052
2022-05-01,1.000152,1.000374,0.948486,0.999388,0.999388,2164589786724
2022-06-01,0.999381,0.999611,0.997547,0.998819,0.998819,1568927670712
2022-07-01,0.998860,1.000360,0.998705,1.000328,1.000328,1563372605097
2022-08-01,1.000322,1.000574,0.999886,1.000016,1.000016,1522776220157
2022-09-01,1.000014,1.000420,0.999891,1.000049,1.000049,1570795629881
2022-10-01,1.000062,1.000346,0.999862,0.999947,0.999947,1324096629754
2022-11-01,0.999956,1.000515,0.981525,1.000015,1.000015,1695329351241
2022-12-01,1.000029,1.000573,0.999599,0.999674,0.999674,687568488247
2023-01-01,0.999680,1.000503,0.999567,1.000117,1.000117,925341898031
2023-02-01,1.000138,1.002496,1.000025,1.000154,1.000154,1045271040423
2023-03-01,1.000169,1.029628,0.999116,1.000124,1.000124,1279155930236
2023-04-01,1.000078,1.001530,0.999196,1.000438,1.000438,839435865398
2023-05-01,1.000555,1.002118,0.999480,1.000334,1.000334,689438522256
2023-06-01,1.000214,1.001391,0.995761,1.000081,1.000081,733972034324
2023-07-01,0.999819,1.001421,0.999121,0.999911,0.999911,660283881057
2023-08-01,0.999915,1.001128,0.997796,0.999846,0.999846,679016663948
2023-09-01,0.999813,1.000938,0.998988,1.000210,1.000210,626627443793
2023-10-01,1.000193,1.001182,0.999381,1.000315,1.000315,849424440425
2023-11-01,1.000428,1.001541,0.999578,1.000156,1.000156,1148215126295
2023-12-01,1.000196,1.001484,0.998572,0.999730,0.999730,1501452750126
2024-01-01,0.999881,1.003630,0.998033,1.000028,1.000028,1434939758374
2024-02-01,1.000075,1.001576,0.998562,1.000402,1.000402,1493103467798
2024-03-01,1.000388,1.003619,0.998255,1.000040,1.000040,2888616321282
2024-04-01,1.000034,1.003201,0.998107,0.999162,0.999162,1970692794510
2024-05-01,0.999137,1.002432,0.998072,0.998995,0.998995,1793514021330
2024-06-01,0.998995,1.001334,0.997224,0.998409,0.998409,1555825954950
2024-07-01,0.998380,1.002044,0.998208,0.999733,0.999733,1721561668561
2024-08-01,0.999732,1.002500,0.998303,0.999884,0.999884,1793315048760
2024-09-01,0.999883,1.001738,0.999210,0.999751,0.999751,129718535200
2024-09-04,0.999783,1.000703,0.999569,0.999786,0.999786,58181652480
